rep,weighted,drug,n_lines,spearman,mse,null_mse,pred_std,true_std
X_pca,False,methotrexate,147,0.3160397094423255,0.035967248020165696,0.03996946557914976,0.06707121009431567,0.1999236493743293
X_pca,False,dasatinib,151,0.5374067619379574,0.018963690437955923,0.026008857871999476,0.07131463820889684,0.16127261972200824
X_pca,False,paclitaxel,145,0.3775979058358665,0.039821764816121014,0.04785669334075161,0.08227864831886667,0.21876172732164922
X_pca,False,vincristine,153,0.3675867476177073,0.03100826408811279,0.035878006199516733,0.07336649463243884,0.18941490490327506
X_pca,False,afatinib,140,0.206582194334595,0.020515444363753823,0.020868588763061524,0.0555349179248937,0.14445964406387524
X_pca,False,topotecan,149,0.2778580426792751,0.018553500823700796,0.020068097364826464,0.04574362247111054,0.14166191218823238
X_pca,False,tanespimycin,148,0.20450069594714707,0.0240868859137581,0.024667434943007795,0.049903158331107964,0.1570586990364042
X_pca,False,selumetinib,150,0.27487621672074314,0.022448218095437605,0.024375115410320943,0.05017496720428449,0.1561253195683549
X_pca,True,methotrexate,147,0.281001632994739,0.038771827509875186,0.03996946557914976,0.09638624797972188,0.1999236493743293
X_pca,True,dasatinib,151,0.5172777971418613,0.018883808470051527,0.026008857871999476,0.09203553434082444,0.16127261972200824
X_pca,True,paclitaxel,145,0.36800094474221634,0.040829831783246874,0.04785669334075161,0.09993222536844344,0.21876172732164922
X_pca,True,vincristine,153,0.36028239046814897,0.03180292473724104,0.035878006199516733,0.09010596749025121,0.18941490490327506
X_pca,True,afatinib,140,0.20980976778321325,0.021139427386516085,0.020868588763061524,0.07363913811621486,0.14445964406387524
X_pca,True,topotecan,149,0.2377491726367499,0.019909793098563073,0.020068097364826464,0.06588811460233229,0.14166191218823238
X_pca,True,tanespimycin,148,0.11947315426385649,0.02647461827350871,0.024667434943007795,0.06261832404110462,0.1570586990364042
X_pca,True,selumetinib,150,0.36746699853326814,0.021036376528794278,0.024375115410320943,0.07470393062890694,0.1561253195683549
X_scGPT,False,methotrexate,147,0.3411759261272159,0.036039492831970624,0.03996946557914976,0.07428159230247194,0.1999236493743293
X_scGPT,False,dasatinib,151,0.5459393516904844,0.018094592534113725,0.026008857871999476,0.07296797947694357,0.16127261972200824
X_scGPT,False,paclitaxel,145,0.47202444509529196,0.036906369953926335,0.04785669334075161,0.08641317142928584,0.21876172732164922
X_scGPT,False,vincristine,153,0.40723801482315414,0.030198441823175468,0.035878006199516733,0.07307342993461713,0.18941490490327506
X_scGPT,False,afatinib,140,0.3253551478814434,0.01793009312164691,0.020868588763061524,0.05864720617442978,0.14445964406387524
X_scGPT,False,topotecan,149,0.2955925046187544,0.01836030219958657,0.020068097364826464,0.04157751900173617,0.14166191218823238
X_scGPT,False,tanespimycin,148,0.32402197411896133,0.023093082219904044,0.024667434943007795,0.044800213348018675,0.1570586990364042
X_scGPT,False,selumetinib,150,0.30080448019912,0.022324927323839623,0.024375115410320943,0.04456724589061928,0.1561253195683549
X_scGPT,True,methotrexate,147,0.37021281820508,0.03517601237423085,0.03996946557914976,0.07787539142605258,0.1999236493743293
X_scGPT,True,dasatinib,151,0.5306936214708957,0.018097482925414708,0.026008857871999476,0.08988023193490528,0.16127261972200824
X_scGPT,True,paclitaxel,145,0.49465091448261805,0.03470571648654344,0.04785669334075161,0.10912176065456573,0.21876172732164922
X_scGPT,True,vincristine,153,0.3755076193156688,0.031196502550485512,0.035878006199516733,0.09035649472443276,0.18941490490327506
X_scGPT,True,afatinib,140,0.2498329905678065,0.02060776090209026,0.020868588763061524,0.07817748500925241,0.14445964406387524
X_scGPT,True,topotecan,149,0.30449510656198503,0.018148949611275646,0.020068097364826464,0.06103735485188014,0.14166191218823238
X_scGPT,True,tanespimycin,148,0.2682611721521624,0.023691204755772566,0.024667434943007795,0.06315139278942343,0.1570586990364042
X_scGPT,True,selumetinib,150,0.35811547179874664,0.021969955235268224,0.024375115410320943,0.06608594027355993,0.1561253195683549
